LMV,Beta,BM,BM_m,EP,EP_m,CP,CP_m,ROE,ROA,GPA,OPBE,OA,OL,NOA,AG,ItA,NSI,EPS,TEY,BookToEV,DtoE,QuickRatio,Momentum,Momentum_short
1,-0.011462117079632565,-0.003525987770692325,-0.003501296657527238,-0.0045059887012049585,-0.004419287507470416,-0.0035085076029858667,-0.0034539320300569307,-1.238589402177031e-4,0.0010735333730374334,0.008238261196436863,0.028081599407267087,-7.849110064986582e-4,0.4560709485490584,-0.0011259730271321214,-9.473707877077791e-4,-0.0010715970255080515,-0.024286761738136448,-7.041865063513183e-4,-0.0012375209620291777,-0.001189568189389929,0.0015741048847167924,-0.020990706736475545,0.01899462307164643,0.008801251763218268
-0.011462117079632565,1,-0.0015818155325782088,-0.002780677780452783,0.0011472422085993632,4.001056219881151e-4,-0.0013826597846715522,-0.002276927700476616,0.012510201790734114,-0.02361247929632064,-0.029522433233523576,-0.024239643801188666,0.014969564771373237,0.011253838843163562,-0.009705507209885186,-0.009431505494086077,-0.01068964131432856,0.025951401998902442,-0.006849757876649756,0.011423525672551267,-0.006546144621062403,0.005972064650892099,0.03255208709758913,0.049302415487276784,0.05074193952418473
-0.003525987770692325,-0.0015818155325782088,1,0.977456850830706,0.7920982422223424,0.7695437247419934,0.5280487162656148,0.5241550436895994,-7.846970883884646e-4,-6.470289330365482e-4,-0.013304218918914186,-0.0031185348729683535,-1.5225875991419906e-4,0.017273435150328604,-1.408950067430815e-4,-1.7787425452377736e-4,-1.9573016427146888e-4,0.004399160764034787,-2.257774653072776e-4,0.013347908975491244,-2.3404961810666135e-4,8.448494048135673e-5,-0.0025762755555679,-0.0038750762604779164,-0.00369595819377631
-0.003501296657527238,-0.002780677780452783,0.977456850830706,1,0.7599619242593832,0.7776888838338275,0.49424044301025766,0.5107767833704442,-8.182778648632027e-4,-8.863209695893818e-4,-0.012854702752997051,-0.0032125187683629134,-1.485774298384885e-4,0.016519266570695745,-1.3627916849605874e-4,-1.7423070864251266e-4,-1.92327553673478e-4,0.0013808426570472436,-1.8579517999445355e-4,0.0126223952719931,-1.4552669243686638e-4,1.3957336586705767e-4,-0.0027567099087870105,-0.006346458243709155,-0.005915375431172557
-0.0045059887012049585,0.0011472422085993632,0.7920982422223424,0.7599619242593832,1,0.9470500971031107,0.8304814560126089,0.806052957993861,-5.079196834101974e-4,7.812835253179056e-4,-0.017392506589645817,-0.0023464863229149552,-1.696397854091858e-4,0.021203023741420433,-1.352648883289939e-4,-1.9691380109202724e-4,-2.1791578217892924e-4,0.005854623102234859,-3.0318301997012576e-4,0.016265450412402394,-3.155019683975977e-4,-2.4838105029095976e-4,-5.514146811993917e-4,-0.0036096137655790314,-0.0031806650603679026
-0.004419287507470416,4.001056219881151e-4,0.7695437247419934,0.7776888838338275,0.9470500971031107,1,0.7661669474630687,0.7762948072364138,-6.004002081977928e-4,2.992601734148525e-4,-0.016970863517418097,-0.0027029171085401517,-1.6565581663782758e-4,0.02010945059495723,-1.2983986822788892e-4,-1.9323439733379756e-4,-2.1464999469125026e-4,0.002762878379508385,-2.9603959218825243e-4,0.01516618494585679,-3.073802907914363e-4,-1.3832045073477713e-4,-8.009779494873295e-4,-0.006617252091748276,-0.006131714408093928
-0.0035085076029858667,-0.0013826597846715522,0.5280487162656148,0.49424044301025766,0.8304814560126089,0.7661669474630687,1,0.9799551959680229,7.999105328037081e-5,0.0025110105144178275,-0.013747550460255116,0.0011210296726443297,-1.3772509457979506e-4,0.020159822725837623,-8.546399627165462e-5,-8.717756033221133e-5,-1.0766657510134814e-4,0.0038304299869192262,-2.4276720366285689e-4,0.01247081974902402,-2.54784806739246e-4,-3.0874113915384965e-4,-4.5677580888214895e-4,-0.0017968758799560144,-0.0021587721240699824
-0.0034539320300569307,-0.002276927700476616,0.5241550436895994,0.5107767833704442,0.806052957993861,0.7762948072364138,0.9799551959680229,1,5.6063134213700024e-5,0.002321473413018383,-0.013130407782254784,0.0010929222531305223,-1.3498736694077362e-4,0.0201180871954215,-9.03595131997358e-5,-9.662647844947816e-5,-1.1595815884117879e-4,0.0018814820322852906,-2.3806060234200834e-4,0.012086445617249177,-2.4964856058075217e-4,-3.0709043809640625e-4,-6.832488636774126e-4,-0.004167866696637934,-0.00429776077296345
-1.238589402177031e-4,0.012510201790734114,-7.846970883884646e-4,-8.182778648632027e-4,-5.079196834101974e-4,-6.004002081977928e-4,7.999105328037081e-5,5.6063134213700024e-5,1,0.26644100678618965,0.005694692064771389,0.23807096876992961,0.8489651426443927,1.625829658101948e-4,1.9296572382850638e-4,5.171949123274363e-4,5.436211165198676e-4,0.025819335204153287,1.9264367268478848e-4,4.670053827586211e-4,-5.97408698743547e-4,0.027073260324000464,-0.006676561989906137,-9.063362402467508e-4,-9.84645070860189e-4
0.0010735333730374334,-0.02361247929632064,-6.470289330365482e-4,-8.863209695893818e-4,7.812835253179056e-4,2.992601734148525e-4,0.0025110105144178275,0.002321473413018383,0.26644100678618965,1,0.024017201301066427,0.02282849325170123,-9.315203475593267e-4,-0.012776296919340704,-8.993848857113238e-4,-8.199607872626926e-4,-7.98893431322884e-4,0.035112451885342226,-0.0010350608981414483,2.4124500299766596e-4,-0.0017552703969945522,-0.007242441022787523,0.01252621377194589,-7.27270593947798e-5,-0.006095307148993111
